profile_name,year,rep_period,timestep,value CY_30-97_40-13_50-98
availability-wind2030,2030,1,1,0.334
availability-wind2030,2030,1,2,0.343
availability-wind2030,2030,1,3,0.359
availability-wind2030,2030,1,4,0.372
availability-wind2030,2030,1,5,0.381
availability-wind2030,2030,1,6,0.408
availability-wind2030,2030,1,7,0.430
availability-wind2030,2030,1,8,0.436
availability-wind2030,2030,1,9,0.430
availability-wind2030,2030,1,10,0.431
availability-wind2030,2030,1,11,0.439
availability-wind2030,2030,1,12,0.461
availability-wind2030,2030,1,13,0.481
availability-wind2030,2030,1,14,0.502
availability-wind2030,2030,1,15,0.526
availability-wind2030,2030,1,16,0.562
availability-wind2030,2030,1,17,0.578
availability-wind2030,2030,1,18,0.561
availability-wind2030,2030,1,19,0.513
availability-wind2030,2030,1,20,0.459
availability-wind2030,2030,1,21,0.411
availability-wind2030,2030,1,22,0.355
availability-wind2030,2030,1,23,0.343
availability-wind2030,2030,1,24,0.322
availability-wind2030,2030,1,25,0.312
availability-wind2030,2030,1,26,0.297
availability-wind2030,2030,1,27,0.289
availability-wind2030,2030,1,28,0.300
availability-wind2030,2030,1,29,0.308
availability-wind2030,2030,1,30,0.305
availability-wind2030,2030,1,31,0.298
availability-wind2030,2030,1,32,0.289
availability-wind2030,2030,1,33,0.307
availability-wind2030,2030,1,34,0.330
availability-wind2030,2030,1,35,0.347
availability-wind2030,2030,1,36,0.373
availability-wind2030,2030,1,37,0.385
availability-wind2030,2030,1,38,0.376
availability-wind2030,2030,1,39,0.365
availability-wind2030,2030,1,40,0.374
availability-wind2030,2030,1,41,0.384
availability-wind2030,2030,1,42,0.404
availability-wind2030,2030,1,43,0.426
availability-wind2030,2030,1,44,0.458
availability-wind2030,2030,1,45,0.481
availability-wind2030,2030,1,46,0.497
availability-wind2030,2030,1,47,0.548
availability-wind2030,2030,1,48,0.603
availability-wind2030,2030,1,49,0.634
availability-wind2030,2030,1,50,0.618
availability-wind2030,2030,1,51,0.606
availability-wind2030,2030,1,52,0.592
availability-wind2030,2030,1,53,0.577
availability-wind2030,2030,1,54,0.551
availability-wind2030,2030,1,55,0.528
availability-wind2030,2030,1,56,0.519
availability-wind2030,2030,1,57,0.515
availability-wind2030,2030,1,58,0.505
availability-wind2030,2030,1,59,0.522
availability-wind2030,2030,1,60,0.530
availability-wind2030,2030,1,61,0.508
availability-wind2030,2030,1,62,0.492
availability-wind2030,2030,1,63,0.478
availability-wind2030,2030,1,64,0.481
availability-wind2030,2030,1,65,0.504
availability-wind2030,2030,1,66,0.533
availability-wind2030,2030,1,67,0.540
availability-wind2030,2030,1,68,0.534
availability-wind2030,2030,1,69,0.524
availability-wind2030,2030,1,70,0.510
availability-wind2030,2030,1,71,0.506
availability-wind2030,2030,1,72,0.508
availability-wind2030,2030,1,73,0.509
availability-wind2030,2030,1,74,0.514
availability-wind2030,2030,1,75,0.513
availability-wind2030,2030,1,76,0.504
availability-wind2030,2030,1,77,0.490
availability-wind2030,2030,1,78,0.478
availability-wind2030,2030,1,79,0.467
availability-wind2030,2030,1,80,0.458
availability-wind2030,2030,1,81,0.453
availability-wind2030,2030,1,82,0.452
availability-wind2030,2030,1,83,0.470
availability-wind2030,2030,1,84,0.456
availability-wind2030,2030,1,85,0.428
availability-wind2030,2030,1,86,0.399
availability-wind2030,2030,1,87,0.399
availability-wind2030,2030,1,88,0.437
availability-wind2030,2030,1,89,0.486
availability-wind2030,2030,1,90,0.512
availability-wind2030,2030,1,91,0.515
availability-wind2030,2030,1,92,0.508
availability-wind2030,2030,1,93,0.484
availability-wind2030,2030,1,94,0.455
availability-wind2030,2030,1,95,0.460
availability-wind2030,2030,1,96,0.427
availability-wind2030,2030,1,97,0.392
availability-wind2030,2030,1,98,0.361
availability-wind2030,2030,1,99,0.357
availability-wind2030,2030,1,100,0.358
availability-wind2030,2030,1,101,0.355
availability-wind2030,2030,1,102,0.350
availability-wind2030,2030,1,103,0.342
availability-wind2030,2030,1,104,0.333
availability-wind2030,2030,1,105,0.321
availability-wind2030,2030,1,106,0.309
availability-wind2030,2030,1,107,0.289
availability-wind2030,2030,1,108,0.262
availability-wind2030,2030,1,109,0.232
availability-wind2030,2030,1,110,0.203
availability-wind2030,2030,1,111,0.179
availability-wind2030,2030,1,112,0.159
availability-wind2030,2030,1,113,0.134
availability-wind2030,2030,1,114,0.116
availability-wind2030,2030,1,115,0.104
availability-wind2030,2030,1,116,0.098
availability-wind2030,2030,1,117,0.086
availability-wind2030,2030,1,118,0.071
availability-wind2030,2030,1,119,0.052
availability-wind2030,2030,1,120,0.043
availability-wind2030,2030,1,121,0.036
availability-wind2030,2030,1,122,0.031
availability-wind2030,2030,1,123,0.027
availability-wind2030,2030,1,124,0.026
availability-wind2030,2030,1,125,0.026
availability-wind2030,2030,1,126,0.027
availability-wind2030,2030,1,127,0.024
availability-wind2030,2030,1,128,0.021
availability-wind2030,2030,1,129,0.019
availability-wind2030,2030,1,130,0.021
availability-wind2030,2030,1,131,0.018
availability-wind2030,2030,1,132,0.018
availability-wind2030,2030,1,133,0.018
availability-wind2030,2030,1,134,0.020
availability-wind2030,2030,1,135,0.028
availability-wind2030,2030,1,136,0.036
availability-wind2030,2030,1,137,0.050
availability-wind2030,2030,1,138,0.068
availability-wind2030,2030,1,139,0.087
availability-wind2030,2030,1,140,0.106
