asset,milestone_year,commission_year,decommissionable,initial_units,initial_storage_units
demandBE,2030,2030,FALSE,0,0
demandBE,2040,2040,FALSE,0,0
demandBE,2050,2050,FALSE,0,0
demandDE,2030,2030,FALSE,0,0
demandDE,2040,2040,FALSE,0,0
demandDE,2050,2050,FALSE,0,0
demandDK,2030,2030,FALSE,0,0
demandDK,2040,2040,FALSE,0,0
demandDK,2050,2050,FALSE,0,0
demandNL,2030,2030,FALSE,0,0
demandNL,2040,2040,FALSE,0,0
demandNL,2050,2050,FALSE,0,0
demandNO,2030,2030,FALSE,0,0
demandNO,2040,2040,FALSE,0,0
demandNO,2050,2050,FALSE,0,0
demandUK,2030,2030,FALSE,0,0
demandUK,2040,2040,FALSE,0,0
demandUK,2050,2050,FALSE,0,0
ensBE,2030,2030,FALSE,12,0
ensBE,2040,2040,FALSE,18,0
ensBE,2050,2050,FALSE,20,0
ensDE,2030,2030,FALSE,90,0
ensDE,2040,2040,FALSE,90,0
ensDE,2050,2050,FALSE,90,0
ensDK,2030,2030,FALSE,4,0
ensDK,2040,2040,FALSE,3,0
ensDK,2050,2050,FALSE,3,0
ensNL,2030,2030,FALSE,18,0
ensNL,2040,2040,FALSE,26,0
ensNL,2050,2050,FALSE,36,0
ensNO,2030,2030,FALSE,23,0
ensNO,2040,2040,FALSE,23,0
ensNO,2050,2050,FALSE,23,0
ensUK,2030,2030,FALSE,40,0
ensUK,2040,2040,FALSE,48,0
ensUK,2050,2050,FALSE,56,0
offshorehub,2030,2030,FALSE,0,0
offshorehub,2040,2040,FALSE,0,0
offshorehub,2050,2050,FALSE,0,0
wind,2030,2030,FALSE,30,0
wind,2040,2040,FALSE,30,0
wind,2050,2050,FALSE,30,0
