asset,commission_year,profile_type,profile_name
wind,2030,availability,availability-wind2030
wind,2040,availability,availability-wind2040
wind,2050,availability,availability-wind2050
demandBE,2030,demand,profile-demandBE2030
demandBE,2040,demand,profile-demandBE2040
demandBE,2050,demand,profile-demandBE2050
demandDE,2030,demand,profile-demandDE2030
demandDE,2040,demand,profile-demandDE2040
demandDE,2050,demand,profile-demandDE2050
demandDK,2030,demand,profile-demandDK2030
demandDK,2040,demand,profile-demandDK2040
demandDK,2050,demand,profile-demandDK2050
demandNL,2030,demand,profile-demandNL2030
demandNL,2040,demand,profile-demandNL2040
demandNL,2050,demand,profile-demandNL2050
demandNO,2030,demand,profile-demandNO2030
demandNO,2040,demand,profile-demandNO2040
demandNO,2050,demand,profile-demandNO2050
demandUK,2030,demand,profile-demandUK2030
demandUK,2040,demand,profile-demandUK2040
demandUK,2050,demand,profile-demandUK2050
