from_asset,to_asset,milestone_year,commission_year,decommissionable,initial_export_units,initial_import_units
offshorehub,demandBE,2030,2030,FALSE,5.76,0
offshorehub,demandBE,2040,2040,FALSE,8.96,0
offshorehub,demandBE,2050,2050,FALSE,8.96,0
offshorehub,demandDE,2030,2030,FALSE,26.417,0
offshorehub,demandDE,2040,2040,FALSE,47.955,0
offshorehub,demandDE,2050,2050,FALSE,51.48,0
offshorehub,demandDK,2030,2030,FALSE,5.271,0
offshorehub,demandDK,2040,2040,FALSE,5.274,0
offshorehub,demandDK,2050,2050,FALSE,15.671,0
offshorehub,demandNL,2030,2030,FALSE,16.3,0
offshorehub,demandNL,2040,2040,FALSE,48.3,0
offshorehub,demandNL,2050,2050,FALSE,68.3,0
offshorehub,demandNO,2030,2030,FALSE,3,0
offshorehub,demandNO,2040,2040,FALSE,14,0
offshorehub,demandNO,2050,2050,FALSE,14,0
offshorehub,demandUK,2030,2030,FALSE,55,0
offshorehub,demandUK,2040,2040,FALSE,95.858,0
offshorehub,demandUK,2050,2050,FALSE,97.667,0
