from_asset,to_asset,commission_year,fixed_cost,investment_cost,efficiency,investment_limit,flow_coefficient_in_capacity_constraint
ensBE,demandBE,2030,0,0,0,,1
ensDE,demandDE,2030,0,0,0,,1
ensDK,demandDK,2030,0,0,0,,1
ensNL,demandNL,2030,0,0,0,,1
ensNO,demandNO,2030,0,0,0,,1
ensUK,demandUK,2030,0,0,0,,1
ensBE,demandBE,2040,0,0,0,,1
ensDE,demandDE,2040,0,0,0,,1
ensDK,demandDK,2040,0,0,0,,1
ensNL,demandNL,2040,0,0,0,,1
ensNO,demandNO,2040,0,0,0,,1
ensUK,demandUK,2040,0,0,0,,1
ensBE,demandBE,2050,0,0,0,,1
ensDE,demandDE,2050,0,0,0,,1
ensDK,demandDK,2050,0,0,0,,1
ensNL,demandNL,2050,0,0,0,,1
ensNO,demandNO,2050,0,0,0,,1
ensUK,demandUK,2050,0,0,0,,1
offshorehub,demandBE,2030,0,0,0,,1
offshorehub,demandDE,2030,0,0,0,,1
offshorehub,demandDK,2030,0,0,0,,1
offshorehub,demandNL,2030,0,0,0,,1
offshorehub,demandNO,2030,0,0,0,,1
offshorehub,demandUK,2030,0,0,0,,1
offshorehub,demandBE,2040,0,0,0,,1
offshorehub,demandDE,2040,0,0,0,,1
offshorehub,demandDK,2040,0,0,0,,1
offshorehub,demandNL,2040,0,0,0,,1
offshorehub,demandNO,2040,0,0,0,,1
offshorehub,demandUK,2040,0,0,0,,1
offshorehub,demandBE,2050,0,0,0,,1
offshorehub,demandDE,2050,0,0,0,,1
offshorehub,demandDK,2050,0,0,0,,1
offshorehub,demandNL,2050,0,0,0,,1
offshorehub,demandNO,2050,0,0,0,,1
offshorehub,demandUK,2050,0,0,0,,1
wind,offshorehub,2030,0,0,0,,1
wind,offshorehub,2040,0,0,0,,1
wind,offshorehub,2050,0,0,0,,1
