──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                     63.5s /  99.5%           7.22GiB /  99.6%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
solve_model!                                                                                                                                 1    30.1s   47.7%   30.1s    858MiB   11.7%   858MiB
  total solver time                                                                                                                          1    29.2s   46.2%   29.2s    715MiB    9.7%   715MiB
create_model!                                                                                                                                1    19.2s   30.4%   19.2s   4.43GiB   61.7%  4.43GiB
  create_model                                                                                                                               1    19.2s   30.4%   19.2s   4.43GiB   61.6%  4.43GiB
    add_transport_constraints!                                                                                                               1    2.85s    4.5%   2.85s   1.38GiB   19.2%  1.38GiB
    add_expressions_to_constraints!                                                                                                          1    2.60s    4.1%   2.60s    413MiB    5.6%   413MiB
      add_expression_terms_rep_period_constraints!                                                                                           7    1.33s    2.1%   191ms    249MiB    3.4%  35.6MiB
      add_expression_terms_inter_period_storage_constraints!                                                                                 1    379ms    0.6%   379ms   18.0MiB    0.2%  18.0MiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method                                           1    322ms    0.5%   322ms    128MiB    1.7%   128MiB
      add_expression_terms_inter_period_constraints!                                                                                         2    221ms    0.3%   111ms   9.44MiB    0.1%  4.72MiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_compact_efficiencies_vintage_method                                 1   27.2ms    0.0%  27.2ms    705KiB    0.0%   705KiB
      add_expression_terms_rep_period_constraints! for min_output_flow_without_unit_commitment_compact_vintage_method                        1   18.1ms    0.0%  18.1ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method_non_investable_storage_with_binary        1   18.0ms    0.0%  18.0ms   32.0KiB    0.0%  32.0KiB
      add_expression_terms_rep_period_constraints! for min_output_flow_without_unit_commitment_aggregated_vintage_method                     1   17.9ms    0.0%  17.9ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method_non_investable_storage_with_binary        1   17.9ms    0.0%  17.9ms   32.0KiB    0.0%  32.0KiB
      add_expression_terms_rep_period_constraints! for min_outgoing_flow_for_transport_flows_without_unit_commitment                         1   17.5ms    0.0%  17.5ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_compact_profiles_vintage_method                                     1   17.5ms    0.0%  17.5ms   31.8KiB    0.0%  31.8KiB
      add_expression_terms_accumulated_storage_intra_period_constraints!                                                                     1   17.4ms    0.0%  17.4ms   31.6KiB    0.0%  31.6KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method_investable_storage_with_binary            1   17.4ms    0.0%  17.4ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method                                           1   17.4ms    0.0%  17.4ms   31.6KiB    0.0%  31.6KiB
      attach is_charging expression to capacity_incoming_aggregated_vintage_method                                                           1   17.3ms    0.0%  17.3ms    675KiB    0.0%   675KiB
      add_expression_terms_rep_period_constraints! for min_incoming_flow_for_transport_flows                                                 1   17.3ms    0.0%  17.3ms   31.5KiB    0.0%  31.5KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method_investable_storage_with_binary            1   17.1ms    0.0%  17.1ms   31.9KiB    0.0%  31.9KiB
