──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                      331s / 100.0%           6.83GiB / 100.0%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
solve_model!                                                                                                                                 1     309s   93.5%    309s    777MiB   11.1%   777MiB
  total solver time                                                                                                                          1     309s   93.5%    309s    777MiB   11.1%   777MiB
create_model!                                                                                                                                1    10.2s    3.1%   10.2s   4.31GiB   63.1%  4.31GiB
  create_model                                                                                                                               1    10.2s    3.1%   10.2s   4.31GiB   63.1%  4.31GiB
    add_expressions_to_constraints!                                                                                                          1    2.44s    0.7%   2.44s    432MiB    6.2%   432MiB
      add_expression_terms_rep_period_constraints!                                                                                           7    1.73s    0.5%   248ms    244MiB    3.5%  34.9MiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method                                           1    250ms    0.1%   250ms    183MiB    2.6%   183MiB
      add_expression_terms_inter_period_constraints!                                                                                         2   52.3ms    0.0%  26.2ms   43.8KiB    0.0%  21.9KiB
      add_expression_terms_rep_period_constraints! for min_output_flow_without_unit_commitment_compact_vintage_method                        1   25.8ms    0.0%  25.8ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for min_output_flow_without_unit_commitment_aggregated_vintage_method                     1   25.7ms    0.0%  25.7ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for min_incoming_flow_for_transport_flows                                                 1   24.4ms    0.0%  24.4ms   31.5KiB    0.0%  31.5KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method_investable_storage_with_binary            1   24.2ms    0.0%  24.2ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method_non_investable_storage_with_binary        1   23.7ms    0.0%  23.7ms   32.0KiB    0.0%  32.0KiB
      add_expression_terms_rep_period_constraints! for min_outgoing_flow_for_transport_flows_without_unit_commitment                         1   23.5ms    0.0%  23.5ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method_investable_storage_with_binary            1   23.1ms    0.0%  23.1ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_accumulated_storage_intra_period_constraints!                                                                     1   23.1ms    0.0%  23.1ms   31.6KiB    0.0%  31.6KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method_non_investable_storage_with_binary        1   22.6ms    0.0%  22.6ms   32.0KiB    0.0%  32.0KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_compact_profiles_vintage_method                                     1   22.5ms    0.0%  22.5ms   31.8KiB    0.0%  31.8KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method                                           1   21.6ms    0.0%  21.6ms   31.6KiB    0.0%  31.6KiB
      add_expression_terms_inter_period_storage_constraints!                                                                                 1   21.3ms    0.0%  21.3ms   25.5KiB    0.0%  25.5KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_compact_efficiencies_vintage_method                                 1   18.0ms    0.0%  18.0ms   39.7KiB    0.0%  39.7KiB
      add_expression_terms_rep_period_constraints! for min_outgoing_flow_for_transport_vintage_flows                                         1   14.2ms    0.0%  14.2ms   33.0KiB    0.0%  33.0KiB
      attach units_on expression to min_output_flow_with_unit_commitment                                                                     1   9.87ms    0.0%  9.87ms   14.2KiB    0.0%  14.2KiB
      attach is_charging expression to capacity_outgoing_aggregated_vintage_method                                                           1   8.92ms    0.0%  8.92ms   4.02MiB    0.1%  4.02MiB
      attach is_charging expression to min_incoming_flow_for_transport_flows                                                                 1   7.13ms    0.0%  7.13ms   11.8KiB    0.0%  11.8KiB
      attach is_charging expression to capacity_outgoing_compact_profiles_vintage_method                                                     1   7.02ms    0.0%  7.02ms   11.8KiB    0.0%  11.8KiB
      attach units_on expression to max_ramp_with_unit_commitment                                                                            1   7.01ms    0.0%  7.01ms   11.7KiB    0.0%  11.7KiB
      attach is_charging expression to capacity_incoming_aggregated_vintage_method                                                           1   6.99ms    0.0%  6.99ms   14.3KiB    0.0%  14.3KiB
      attach is_charging expression to min_outgoing_flow_for_transport_flows_without_unit_commitment                                         1   6.98ms    0.0%  6.98ms   11.9KiB    0.0%  11.9KiB
      attach is_charging expression to capacity_outgoing_aggregated_vintage_method_investable_storage_with_binary                            1   6.85ms    0.0%  6.85ms   11.9KiB    0.0%  11.9KiB
      attach units_on expression to max_output_flow_with_basic_unit_commitment                                                               1   6.79ms    0.0%  6.79ms   11.8KiB    0.0%  11.8KiB
      attach is_charging expression to capacity_outgoing_aggregated_vintage_method_non_investable_storage_with_binary                        1   6.14ms    0.0%  6.14ms   11.9KiB    0.0%  11.9KiB
