──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                                         Time                    Allocations      
                                                                                                                                                ───────────────────────   ────────────────────────
                                                               Tot / % measured:                                                                     64.4s / 100.0%           5.99GiB / 100.0%    

Section                                                                                                                                 ncalls     time    %tot     avg     alloc    %tot      avg
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
solve_model!                                                                                                                                 1    43.8s   68.1%   43.8s    658MiB   10.7%   658MiB
  total solver time                                                                                                                          1    43.8s   68.1%   43.8s    658MiB   10.7%   658MiB
create_model!                                                                                                                                1    9.74s   15.1%   9.74s   3.80GiB   63.5%  3.80GiB
  create_model                                                                                                                               1    9.74s   15.1%   9.74s   3.80GiB   63.5%  3.80GiB
    add_capacity_constraints!                                                                                                                1    2.60s    4.0%   2.60s    751MiB   12.2%   751MiB
    add_transport_constraints!                                                                                                               1    2.24s    3.5%   2.24s   1.36GiB   22.7%  1.36GiB
    add_expressions_to_constraints!                                                                                                          1    1.60s    2.5%   1.60s    352MiB    5.7%   352MiB
      add_expression_terms_rep_period_constraints!                                                                                           7    822ms    1.3%   117ms    220MiB    3.6%  31.4MiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method                                           1    184ms    0.3%   184ms    110MiB    1.8%   110MiB
      add_expression_terms_inter_period_constraints!                                                                                         2   67.8ms    0.1%  33.9ms   43.8KiB    0.0%  21.9KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_compact_profiles_vintage_method                                     1   54.2ms    0.1%  54.2ms   18.3MiB    0.3%  18.3MiB
      add_expression_terms_rep_period_constraints! for min_output_flow_without_unit_commitment_compact_vintage_method                        1   29.8ms    0.0%  29.8ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for min_outgoing_flow_for_transport_flows_without_unit_commitment                         1   29.2ms    0.0%  29.2ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for min_output_flow_without_unit_commitment_aggregated_vintage_method                     1   29.0ms    0.0%  29.0ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_accumulated_storage_intra_period_constraints!                                                                     1   28.9ms    0.0%  28.9ms   31.6KiB    0.0%  31.6KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method_investable_storage_with_binary            1   28.3ms    0.0%  28.3ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method_non_investable_storage_with_binary        1   28.2ms    0.0%  28.2ms   32.0KiB    0.0%  32.0KiB
      add_expression_terms_rep_period_constraints! for min_incoming_flow_for_transport_flows                                                 1   27.8ms    0.0%  27.8ms   31.5KiB    0.0%  31.5KiB
      add_expression_terms_inter_period_storage_constraints!                                                                                 1   27.8ms    0.0%  27.8ms   25.5KiB    0.0%  25.5KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method_investable_storage_with_binary            1   27.3ms    0.0%  27.3ms   31.9KiB    0.0%  31.9KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_aggregated_vintage_method_non_investable_storage_with_binary        1   27.2ms    0.0%  27.2ms   32.0KiB    0.0%  32.0KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_aggregated_vintage_method                                           1   26.9ms    0.0%  26.9ms   31.6KiB    0.0%  31.6KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_compact_efficiencies_vintage_method                                 1   26.6ms    0.0%  26.6ms   39.7KiB    0.0%  39.7KiB
      add_expression_terms_rep_period_constraints! for min_outgoing_flow_for_transport_vintage_flows                                         1   20.7ms    0.0%  20.7ms   33.0KiB    0.0%  33.0KiB
      attach is_charging expression to capacity_incoming_aggregated_vintage_method                                                           1   11.7ms    0.0%  11.7ms   14.3KiB    0.0%  14.3KiB
      attach units_on expression to min_output_flow_with_unit_commitment                                                                     1   10.6ms    0.0%  10.6ms   14.2KiB    0.0%  14.2KiB
      attach is_charging expression to capacity_outgoing_aggregated_vintage_method                                                           1   10.6ms    0.0%  10.6ms   2.42MiB    0.0%  2.42MiB
      attach units_on expression to max_output_flow_with_basic_unit_commitment                                                               1   9.34ms    0.0%  9.34ms   11.8KiB    0.0%  11.8KiB
      attach is_charging expression to min_incoming_flow_for_transport_flows                                                                 1   9.16ms    0.0%  9.16ms   11.8KiB    0.0%  11.8KiB
      attach units_on expression to max_ramp_with_unit_commitment                                                                            1   8.69ms    0.0%  8.69ms   11.7KiB    0.0%  11.7KiB
      attach is_charging expression to capacity_outgoing_compact_profiles_vintage_method                                                     1   8.58ms    0.0%  8.58ms    423KiB    0.0%   423KiB
      attach is_charging expression to capacity_incoming_aggregated_vintage_method_investable_storage_with_binary                            1   8.55ms    0.0%  8.55ms   11.9KiB    0.0%  11.9KiB
      attach is_charging expression to min_outgoing_flow_for_transport_flows_without_unit_commitment                                         1   7.89ms    0.0%  7.89ms   11.9KiB    0.0%  11.9KiB
      attach is_charging expression to capacity_outgoing_aggregated_vintage_method_investable_storage_with_binary                            1   7.77ms    0.0%  7.77ms   11.9KiB    0.0%  11.9KiB
      attach is_charging expression to capacity_outgoing_aggregated_vintage_method_non_investable_storage_with_binary                        1   7.74ms    0.0%  7.74ms   11.9KiB    0.0%  11.9KiB
      attach is_charging expression to capacity_incoming_aggregated_vintage_method_non_investable_storage_with_binary                        1   7.69ms    0.0%  7.69ms   11.9KiB    0.0%  11.9KiB
    add_operational_cost_expressions!                                                                                                        1    1.11s    1.7%   1.11s    233MiB    3.8%   233MiB
    add_consumer_constraints!                                                                                                                1    960ms    1.5%   960ms    472MiB    7.7%   472MiB
    add_flow_variables!                                                                                                                      1    878ms    1.4%   878ms    557MiB    9.1%   557MiB
    add_objective!                                                                                                                           1    145ms    0.2%   145ms    134MiB    2.2%   134MiB
    prepare_objective_tables!                                                                                                                1   52.4ms    0.1%  52.4ms   19.2KiB    0.0%  19.2KiB
    create_multi_year_expressions!                                                                                                           1   51.7ms    0.1%  51.7ms   0.99MiB    0.0%  0.99MiB
    add_storage_constraints!                                                                                                                 1   28.4ms    0.0%  28.4ms   35.3KiB    0.0%  35.3KiB
    add_ramping_constraints!                                                                                                                 1   16.1ms    0.0%  16.1ms   40.8KiB    0.0%  40.8KiB
    add_shut_down_upper_bound_constraints!                                                                                                   1   7.04ms    0.0%  7.04ms   9.80KiB    0.0%  9.80KiB
