asset,milestone_year,investable,peak_demand,storage_inflows,initial_storage_level,min_energy_timeframe_partition,max_energy_timeframe_partition,units_on_cost
demandBE,2030,FALSE,6.752027018,0,0,,,
demandBE,2040,FALSE,11.30356914,0,0,,,
demandBE,2050,FALSE,12.65643027,0,0,,,
demandDE,2030,FALSE,42.90516438,0,0,,,
demandDE,2040,FALSE,61.5914835,0,0,,,
demandDE,2050,FALSE,60.95079966,0,0,,,
demandDK,2030,FALSE,1.507568097,0,0,,,
demandDK,2040,FALSE,1.675915496,0,0,,,
demandDK,2050,FALSE,1.547990009,0,0,,,
demandNL,2030,FALSE,11.43776716,0,0,,,
demandNL,2040,FALSE,17.59636006,0,0,,,
demandNL,2050,FALSE,24.61744088,0,0,,,
demandNO,2030,FALSE,13.67918717,0,0,,,
demandNO,2040,FALSE,13.81701273,0,0,,,
demandNO,2050,FALSE,13.81701273,0,0,,,
demandUK,2030,FALSE,16.48842413,0,0,,,
demandUK,2040,FALSE,22.94775136,0,0,,,
demandUK,2050,FALSE,26.84733357,0,0,,,
ensBE,2030,FALSE,0,0,0,,,
ensBE,2040,FALSE,0,0,0,,,
ensBE,2050,FALSE,0,0,0,,,
ensDE,2030,FALSE,0,0,0,,,
ensDE,2040,FALSE,0,0,0,,,
ensDE,2050,FALSE,0,0,0,,,
ensDK,2030,FALSE,0,0,0,,,
ensDK,2040,FALSE,0,0,0,,,
ensDK,2050,FALSE,0,0,0,,,
ensNL,2030,FALSE,0,0,0,,,
ensNL,2040,FALSE,0,0,0,,,
ensNL,2050,FALSE,0,0,0,,,
ensNO,2030,FALSE,0,0,0,,,
ensNO,2040,FALSE,0,0,0,,,
ensNO,2050,FALSE,0,0,0,,,
ensUK,2030,FALSE,0,0,0,,,
ensUK,2040,FALSE,0,0,0,,,
ensUK,2050,FALSE,0,0,0,,,
wind25,2030,FALSE,0,0,0,,,
wind25,2040,FALSE,0,0,0,,,
wind25,2050,FALSE,0,0,0,,,
wind30,2030,TRUE,0,0,0,,,
wind30,2040,FALSE,0,0,0,,,
wind30,2050,FALSE,0,0,0,,,
wind40,2030,FALSE,0,0,0,,,
wind40,2040,TRUE,0,0,0,,,
wind40,2050,FALSE,0,0,0,,,
wind50,2030,FALSE,0,0,0,,,
wind50,2040,FALSE,0,0,0,,,
wind50,2050,TRUE,0,0,0,,,
