profile_name,milestone_year,rep_period,timestep,value
availability2030-2050-wind25,2030,1,1,0.508
availability2030-2050-wind25,2030,1,2,0.515
availability2030-2050-wind25,2030,1,3,0.5
availability2030-2050-wind25,2030,1,4,0.468
availability2030-2050-wind25,2030,1,5,0.434
availability2030-2050-wind25,2030,1,6,0.407
availability2030-2050-wind25,2030,1,7,0.365
availability2030-2050-wind25,2030,1,8,0.31
availability2030-2050-wind25,2030,1,9,0.255
availability2030-2050-wind25,2030,1,10,0.205
availability2030-2050-wind25,2030,1,11,0.155
availability2030-2050-wind25,2030,1,12,0.135
availability2030-2050-wind25,2030,1,13,0.14
availability2030-2050-wind25,2030,1,14,0.166
availability2030-2050-wind25,2030,1,15,0.166
availability2030-2050-wind25,2030,1,16,0.171
availability2030-2050-wind25,2030,1,17,0.178
availability2030-2050-wind25,2030,1,18,0.176
availability2030-2050-wind25,2030,1,19,0.167
availability2030-2050-wind25,2030,1,20,0.159
availability2030-2050-wind25,2030,1,21,0.154
availability2030-2050-wind25,2030,1,22,0.146
availability2030-2050-wind25,2030,1,23,0.151
availability2030-2050-wind25,2030,1,24,0.13
availability2030-2050-wind25,2030,1,25,0.117
availability2030-2050-wind25,2030,1,26,0.114
availability2030-2050-wind25,2030,1,27,0.119
availability2030-2050-wind25,2030,1,28,0.136
availability2030-2050-wind25,2030,1,29,0.166
availability2030-2050-wind25,2030,1,30,0.19
availability2030-2050-wind25,2030,1,31,0.224
availability2030-2050-wind25,2030,1,32,0.261
availability2030-2050-wind25,2030,1,33,0.282
availability2030-2050-wind25,2030,1,34,0.286
availability2030-2050-wind25,2030,1,35,0.292
availability2030-2050-wind25,2030,1,36,0.298
availability2030-2050-wind25,2030,1,37,0.313
availability2030-2050-wind25,2030,1,38,0.327
availability2030-2050-wind25,2030,1,39,0.326
availability2030-2050-wind25,2030,1,40,0.314
availability2030-2050-wind25,2030,1,41,0.298
availability2030-2050-wind25,2030,1,42,0.278
availability2030-2050-wind25,2030,1,43,0.264
availability2030-2050-wind25,2030,1,44,0.252
availability2030-2050-wind25,2030,1,45,0.247
availability2030-2050-wind25,2030,1,46,0.245
availability2030-2050-wind25,2030,1,47,0.246
availability2030-2050-wind25,2030,1,48,0.249
availability2030-2050-wind25,2030,1,49,0.252
availability2030-2050-wind25,2030,1,50,0.25
availability2030-2050-wind25,2030,1,51,0.246
availability2030-2050-wind25,2030,1,52,0.246
availability2030-2050-wind25,2030,1,53,0.267
availability2030-2050-wind25,2030,1,54,0.289
availability2030-2050-wind25,2030,1,55,0.304
availability2030-2050-wind25,2030,1,56,0.345
availability2030-2050-wind25,2030,1,57,0.388
availability2030-2050-wind25,2030,1,58,0.423
availability2030-2050-wind25,2030,1,59,0.465
availability2030-2050-wind25,2030,1,60,0.515
availability2030-2050-wind25,2030,1,61,0.525
availability2030-2050-wind25,2030,1,62,0.491
availability2030-2050-wind25,2030,1,63,0.439
availability2030-2050-wind25,2030,1,64,0.401
availability2030-2050-wind25,2030,1,65,0.372
availability2030-2050-wind25,2030,1,66,0.339
availability2030-2050-wind25,2030,1,67,0.302
availability2030-2050-wind25,2030,1,68,0.284
availability2030-2050-wind25,2030,1,69,0.286
availability2030-2050-wind25,2030,1,70,0.305
availability2030-2050-wind25,2030,1,71,0.351
availability2030-2050-wind25,2030,1,72,0.36
availability2030-2050-wind25,2030,1,73,0.34
availability2030-2050-wind25,2030,1,74,0.298
availability2030-2050-wind25,2030,1,75,0.259
availability2030-2050-wind25,2030,1,76,0.241
availability2030-2050-wind25,2030,1,77,0.252
availability2030-2050-wind25,2030,1,78,0.284
availability2030-2050-wind25,2030,1,79,0.331
availability2030-2050-wind25,2030,1,80,0.363
availability2030-2050-wind25,2030,1,81,0.371
availability2030-2050-wind25,2030,1,82,0.393
