asset,milestone_year,commission_year,decommissionable,initial_units,initial_storage_units
demandBE,2030,2030,FALSE,0,0
demandBE,2040,2040,FALSE,0,0
demandBE,2050,2050,FALSE,0,0
demandDE,2030,2030,FALSE,0,0
demandDE,2040,2040,FALSE,0,0
demandDE,2050,2050,FALSE,0,0
demandDK,2030,2030,FALSE,0,0
demandDK,2040,2040,FALSE,0,0
demandDK,2050,2050,FALSE,0,0
demandNL,2030,2030,FALSE,0,0
demandNL,2040,2040,FALSE,0,0
demandNL,2050,2050,FALSE,0,0
demandNO,2030,2030,FALSE,0,0
demandNO,2040,2040,FALSE,0,0
demandNO,2050,2050,FALSE,0,0
demandUK,2030,2030,FALSE,0,0
demandUK,2040,2040,FALSE,0,0
demandUK,2050,2050,FALSE,0,0
ensBE,2030,2030,FALSE,7,0
ensBE,2040,2040,FALSE,12,0
ensBE,2050,2050,FALSE,13,0
ensDE,2030,2030,FALSE,43,0
ensDE,2040,2040,FALSE,62,0
ensDE,2050,2050,FALSE,61,0
ensDK,2030,2030,FALSE,2,0
ensDK,2040,2040,FALSE,2,0
ensDK,2050,2050,FALSE,2,0
ensNL,2030,2030,FALSE,12,0
ensNL,2040,2040,FALSE,18,0
ensNL,2050,2050,FALSE,25,0
ensNO,2030,2030,FALSE,14,0
ensNO,2040,2040,FALSE,14,0
ensNO,2050,2050,FALSE,14,0
ensUK,2030,2030,FALSE,17,0
ensUK,2040,2040,FALSE,23,0
ensUK,2050,2050,FALSE,27,0
wind,2030,2025,FALSE,30,0
wind,2040,2025,FALSE,30,0
wind,2050,2025,FALSE,30,0
wind,2030,2030,FALSE,0,0
wind,2040,2030,FALSE,0,0
wind,2050,2030,FALSE,0,0
wind,2040,2040,FALSE,0,0
wind,2050,2040,FALSE,0,0
wind,2050,2050,FALSE,0,0
