asset,milestone_year,commission_year,decommissionable,initial_units,initial_storage_units
demandBE,2030,2030,false,0.0,0.0
demandBE,2040,2040,false,0.0,0.0
demandBE,2050,2050,false,0.0,0.0
ensBE,2030,2030,false,6.0,0.0
ensBE,2040,2040,false,10.0,0.0
ensBE,2050,2050,false,10.0,0.0
demandDE,2030,2030,false,0.0,0.0
demandDE,2040,2040,false,0.0,0.0
demandDE,2050,2050,false,0.0,0.0
ensDE,2030,2030,false,30.0,0.0
ensDE,2040,2040,false,50.0,0.0
ensDE,2050,2050,false,60.0,0.0
demandDK,2030,2030,false,0.0,0.0
demandDK,2040,2040,false,0.0,0.0
demandDK,2050,2050,false,0.0,0.0
ensDK,2030,2030,false,6.0,0.0
ensDK,2040,2040,false,6.0,0.0
ensDK,2050,2050,false,20.0,0.0
demandNL,2030,2030,false,0.0,0.0
demandNL,2040,2040,false,0.0,0.0
demandNL,2050,2050,false,0.0,0.0
ensNL,2030,2030,false,20.0,0.0
ensNL,2040,2040,false,50.0,0.0
ensNL,2050,2050,false,70.0,0.0
demandNO,2030,2030,false,0.0,0.0
demandNO,2040,2040,false,0.0,0.0
demandNO,2050,2050,false,0.0,0.0
ensNO,2030,2030,false,5.0,0.0
ensNO,2040,2040,false,15.0,0.0
ensNO,2050,2050,false,15.0,0.0
demandUK,2030,2030,false,0.0,0.0
demandUK,2040,2040,false,0.0,0.0
demandUK,2050,2050,false,0.0,0.0
ensUK,2030,2030,false,60.0,0.0
ensUK,2040,2040,false,100.0,0.0
ensUK,2050,2050,false,100.0,0.0
wind,2030,2030,false,30.0,0.0
wind,2040,2040,false,30.0,0.0
wind,2050,2050,false,30.0,0.0
