from_asset,to_asset,commission_year,fixed_cost,investment_cost,efficiency,investment_limit,flow_coefficient_in_capacity_constraint
ensBE,demandBE,2030,0,0,0,,1
ensDE,demandDE,2030,0,0,0,,1
ensDK,demandDK,2030,0,0,0,,1
ensNL,demandNL,2030,0,0,0,,1
ensNO,demandNO,2030,0,0,0,,1
ensUK,demandUK,2030,0,0,0,,1
wind,demandBE,2030,0,0,0,,1
wind,demandDE,2030,0,0,0,,1
wind,demandDK,2030,0,0,0,,1
wind,demandNL,2030,0,0,0,,1
wind,demandNO,2030,0,0,0,,1
wind,demandUK,2030,0,0,0,,1
ensBE,demandBE,2040,0,0,0,,1
ensDE,demandDE,2040,0,0,0,,1
ensDK,demandDK,2040,0,0,0,,1
ensNL,demandNL,2040,0,0,0,,1
ensNO,demandNO,2040,0,0,0,,1
ensUK,demandUK,2040,0,0,0,,1
wind,demandBE,2040,0,0,0,,1
wind,demandDE,2040,0,0,0,,1
wind,demandDK,2040,0,0,0,,1
wind,demandNL,2040,0,0,0,,1
wind,demandNO,2040,0,0,0,,1
wind,demandUK,2040,0,0,0,,1
ensBE,demandBE,2050,0,0,0,,1
ensDE,demandDE,2050,0,0,0,,1
ensDK,demandDK,2050,0,0,0,,1
ensNL,demandNL,2050,0,0,0,,1
ensNO,demandNO,2050,0,0,0,,1
ensUK,demandUK,2050,0,0,0,,1
wind,demandBE,2050,0,0,0,,1
wind,demandDE,2050,0,0,0,,1
wind,demandDK,2050,0,0,0,,1
wind,demandNL,2050,0,0,0,,1
wind,demandNO,2050,0,0,0,,1
wind,demandUK,2050,0,0,0,,1
