instance,asset,milestone_year,commission_year,decommissionable
1-no-vintage,wind,2030,2030,TRUE
1-no-vintage,wind,2040,2040,TRUE
1-no-vintage,wind,2050,2050,TRUE
2-vintage-standard,wind25,2030,2030,FALSE
2-vintage-standard,wind25,2040,2040,FALSE
2-vintage-standard,wind25,2050,2050,FALSE
2-vintage-standard,wind30,2030,2030,FALSE
2-vintage-standard,wind30,2040,2040,TRUE
2-vintage-standard,wind30,2050,2050,TRUE
2-vintage-standard,wind40,2030,2030,FALSE
2-vintage-standard,wind40,2040,2040,FALSE
2-vintage-standard,wind40,2050,2050,TRUE
2-vintage-standard,wind50,2030,2030,FALSE
2-vintage-standard,wind50,2040,2040,FALSE
2-vintage-standard,wind50,2050,2050,FALSE
3-vintage-compact,wind,2030,2025,FALSE
3-vintage-compact,wind,2040,2025,FALSE
3-vintage-compact,wind,2050,2025,FALSE
3-vintage-compact,wind,2030,2030,FALSE
3-vintage-compact,wind,2040,2030,TRUE
3-vintage-compact,wind,2050,2030,TRUE
3-vintage-compact,wind,2040,2040,FALSE
3-vintage-compact,wind,2050,2040,TRUE
3-vintage-compact,wind,2050,2050,FALSE
