asset,milestone_year,investable,peak_demand,storage_inflows,initial_storage_level,min_energy_timeframe_partition,max_energy_timeframe_partition,units_on_cost
demandBE,2030,FALSE,11.91970059,0,0,,,
demandBE,2040,FALSE,17.00637249,0,0,,,
demandBE,2050,FALSE,18.8547063,0,0,,,
demandDE,2030,FALSE,87.78456431,0,0,,,
demandDE,2040,FALSE,84.7682264,0,0,,,
demandDE,2050,FALSE,86.5130211,0,0,,,
demandDK,2030,FALSE,3.68313698,0,0,,,
demandDK,2040,FALSE,2.52897,0,0,,,
demandDK,2050,FALSE,2.4655093,0,0,,,
demandNL,2030,FALSE,17.94213162,0,0,,,
demandNL,2040,FALSE,25.0125732,0,0,,,
demandNL,2050,FALSE,35.457648,0,0,,,
demandNO,2030,FALSE,22.42745327,0,0,,,
demandNO,2040,FALSE,22.65342258,0,0,,,
demandNO,2050,FALSE,22.65342258,0,0,,,
demandUK,2030,FALSE,36.15057465,0,0,,,
demandUK,2040,FALSE,47.87579971,0,0,,,
demandUK,2050,FALSE,56.68383479,0,0,,,
ensBE,2030,FALSE,0,0,0,,,
ensBE,2040,FALSE,0,0,0,,,
ensBE,2050,FALSE,0,0,0,,,
ensDE,2030,FALSE,0,0,0,,,
ensDE,2040,FALSE,0,0,0,,,
ensDE,2050,FALSE,0,0,0,,,
ensDK,2030,FALSE,0,0,0,,,
ensDK,2040,FALSE,0,0,0,,,
ensDK,2050,FALSE,0,0,0,,,
ensNL,2030,FALSE,0,0,0,,,
ensNL,2040,FALSE,0,0,0,,,
ensNL,2050,FALSE,0,0,0,,,
ensNO,2030,FALSE,0,0,0,,,
ensNO,2040,FALSE,0,0,0,,,
ensNO,2050,FALSE,0,0,0,,,
ensUK,2030,FALSE,0,0,0,,,
ensUK,2040,FALSE,0,0,0,,,
ensUK,2050,FALSE,0,0,0,,,
wind25,2030,FALSE,0,0,0,,,
wind25,2040,FALSE,0,0,0,,,
wind25,2050,FALSE,0,0,0,,,
wind30,2030,TRUE,0,0,0,,,
wind30,2040,FALSE,0,0,0,,,
wind30,2050,FALSE,0,0,0,,,
wind40,2030,FALSE,0,0,0,,,
wind40,2040,TRUE,0,0,0,,,
wind40,2050,FALSE,0,0,0,,,
wind50,2030,FALSE,0,0,0,,,
wind50,2040,FALSE,0,0,0,,,
wind50,2050,TRUE,0,0,0,,,
