asset,type,capacity,min_operating_point,vintage_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,consumer_balance_sense,capacity_storage_energy,is_seasonal,use_binary_storage_method,unit_commitment_integer,ramping,energy_to_power_ratio,investment_integer_storage_energy,max_ramp_up,max_ramp_down,storage_method_energy,unit_commitment
demandBE,consumer,0,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
demandDE,consumer,0,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
demandDK,consumer,0,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
demandNL,consumer,0,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
demandNO,consumer,0,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
demandUK,consumer,0,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
ensBE,producer,1,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
ensDE,producer,1,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
ensDK,producer,1,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
ensNL,producer,1,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
ensNO,producer,1,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
ensUK,producer,1,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
offshorehub,consumer,0,,aggregated,FALSE,40,10,0.05,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
wind25,producer,1,,aggregated,TRUE,25,10,0.025,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
wind30,producer,1,,aggregated,TRUE,25,10,0.025,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
wind40,producer,1,,aggregated,TRUE,25,10,0.025,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
wind50,producer,1,,aggregated,TRUE,25,10,0.025,==,0,FALSE,,FALSE,FALSE,0,FALSE,,,none,none
