id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_compact_profiles_vintage_method
1,wind,2030,1,1,1,-0.6345875546929218
2,wind,2030,1,2,2,-0.6345875546929218
3,wind,2030,1,3,3,-0.6345875546929218
4,wind,2030,1,4,4,-0.6345875546929218
5,wind,2030,1,5,5,-0.6239769900617251
6,wind,2030,1,6,6,0.0
7,wind,2030,1,7,7,0.0
8,wind,2030,1,8,8,0.0
9,wind,2030,1,9,9,0.0
10,wind,2030,1,10,10,0.0
11,wind,2030,1,11,11,0.0
12,wind,2030,1,12,12,0.0
13,wind,2030,1,13,13,0.0
14,wind,2030,1,14,14,0.0
15,wind,2030,1,15,15,0.0
16,wind,2030,1,16,16,0.0
17,wind,2030,1,17,17,0.0
18,wind,2030,1,18,18,0.0
19,wind,2030,1,19,19,0.0
20,wind,2030,1,20,20,0.0
21,wind,2030,1,21,21,0.0
22,wind,2030,1,22,22,0.0
23,wind,2030,1,23,23,0.0
24,wind,2030,1,24,24,0.0
25,wind,2030,1,25,25,0.0
26,wind,2030,1,26,26,0.0
27,wind,2030,1,27,27,0.0
28,wind,2030,1,28,28,0.0
29,wind,2030,1,29,29,0.0
30,wind,2030,1,30,30,0.0
31,wind,2030,1,31,31,0.0
32,wind,2030,1,32,32,0.0
33,wind,2030,1,33,33,0.0
34,wind,2030,1,34,34,0.0
35,wind,2030,1,35,35,0.0
36,wind,2030,1,36,36,0.0
37,wind,2030,1,37,37,0.0
38,wind,2030,1,38,38,0.0
39,wind,2030,1,39,39,0.0
40,wind,2030,1,40,40,0.0
41,wind,2030,1,41,41,0.0
42,wind,2030,1,42,42,0.0
43,wind,2030,1,43,43,0.0
44,wind,2030,1,44,44,0.0
45,wind,2030,1,45,45,0.0
46,wind,2030,1,46,46,0.0
47,wind,2030,1,47,47,0.0
48,wind,2030,1,48,48,-0.6239769900617251
49,wind,2030,1,49,49,-0.6345875546929218
50,wind,2030,1,50,50,-0.6345875546929218
51,wind,2030,1,51,51,-0.6345875546929218
52,wind,2030,1,52,52,-0.6345875546929218
53,wind,2030,1,53,53,0.0
54,wind,2030,1,54,54,0.0
55,wind,2030,1,55,55,0.0
56,wind,2030,1,56,56,0.0
57,wind,2030,1,57,57,0.0
58,wind,2030,1,58,58,0.0
59,wind,2030,1,59,59,0.0
60,wind,2030,1,60,60,0.0
61,wind,2030,1,61,61,0.0
62,wind,2030,1,62,62,0.0
63,wind,2030,1,63,63,0.0
64,wind,2030,1,64,64,0.0
65,wind,2030,1,65,65,0.0
66,wind,2030,1,66,66,0.0
67,wind,2030,1,67,67,0.0
68,wind,2030,1,68,68,0.0
69,wind,2030,1,69,69,0.0
70,wind,2030,1,70,70,0.0
71,wind,2030,1,71,71,0.0
72,wind,2030,1,72,72,0.0
73,wind,2030,1,73,73,0.0
74,wind,2030,1,74,74,0.0
75,wind,2030,1,75,75,0.0
76,wind,2030,1,76,76,0.0
77,wind,2030,1,77,77,0.0
78,wind,2030,1,78,78,0.0
79,wind,2030,1,79,79,0.0
80,wind,2030,1,80,80,0.0
81,wind,2030,1,81,81,0.0
82,wind,2030,1,82,82,0.0
83,wind,2030,1,83,83,0.0
84,wind,2030,1,84,84,0.0
85,wind,2030,1,85,85,0.0
86,wind,2030,1,86,86,0.0
87,wind,2030,1,87,87,0.0
88,wind,2030,1,88,88,0.0
89,wind,2030,1,89,89,0.0
90,wind,2030,1,90,90,0.0
91,wind,2030,1,91,91,0.0
92,wind,2030,1,92,92,0.0
93,wind,2030,1,93,93,0.0
94,wind,2030,1,94,94,0.0
95,wind,2030,1,95,95,0.0
96,wind,2030,1,96,96,-0.6345875546929218
97,wind,2030,1,97,97,-0.6345875546929218
98,wind,2030,1,98,98,-0.6345875546929218
99,wind,2030,1,99,99,-0.6345875546929218
100,wind,2030,1,100,100,-0.6345875546929218
101,wind,2030,1,101,101,-0.6345875546929218
102,wind,2030,1,102,102,-0.6345875546929218
103,wind,2030,1,103,103,-0.6345875546929218
104,wind,2030,1,104,104,-0.6239769900617251
105,wind,2030,1,105,105,-0.6239769900617251
106,wind,2030,1,106,106,-0.6345875546929218
107,wind,2030,1,107,107,-0.6345875546929218
108,wind,2030,1,108,108,-0.6345875546929218
109,wind,2030,1,109,109,-0.6345875546929218
110,wind,2030,1,110,110,-0.6345875546929218
111,wind,2030,1,111,111,-0.6345875546929218
112,wind,2030,1,112,112,-0.6345875546929218
113,wind,2030,1,113,113,-0.6239769900617251
114,wind,2030,1,114,114,-0.6239769900617251
115,wind,2030,1,115,115,-0.6345875546929218
116,wind,2030,1,116,116,-0.6345875546929218
117,wind,2030,1,117,117,-0.7603227455726014
118,wind,2030,1,118,118,-0.7603227455726014
119,wind,2030,1,119,119,-0.7603227455726014
120,wind,2030,1,120,120,-0.7603227455726014
121,wind,2030,1,121,121,-0.6345875546929218
122,wind,2030,1,122,122,-0.6345875546929218
123,wind,2030,1,123,123,-0.6345875546929218
124,wind,2030,1,124,124,-0.6345875546929218
125,wind,2030,1,125,125,-0.6345875546929218
126,wind,2030,1,126,126,0.0
127,wind,2030,1,127,127,0.0
128,wind,2030,1,128,128,0.0
129,wind,2030,1,129,129,0.0
130,wind,2030,1,130,130,0.0
131,wind,2030,1,131,131,-0.6345875546929218
132,wind,2030,1,132,132,-0.6345875546929218
133,wind,2030,1,133,133,-0.6345875546929218
134,wind,2030,1,134,134,-0.6345875546929218
135,wind,2030,1,135,135,-0.6345875546929218
136,wind,2030,1,136,136,0.0
137,wind,2030,1,137,137,0.0
138,wind,2030,1,138,138,0.0
139,wind,2030,1,139,139,0.0
140,wind,2030,1,140,140,0.0
141,wind,2030,1,141,141,0.0
142,wind,2030,1,142,142,0.0
143,wind,2030,1,143,143,0.0
144,wind,2030,1,144,144,0.0
145,wind,2030,1,145,145,0.0
146,wind,2030,1,146,146,0.0
147,wind,2030,1,147,147,0.0
148,wind,2030,1,148,148,0.0
149,wind,2030,1,149,149,0.0
150,wind,2030,1,150,150,0.0
151,wind,2030,1,151,151,0.0
152,wind,2030,1,152,152,0.0
153,wind,2030,1,153,153,0.0
154,wind,2030,1,154,154,0.0
155,wind,2030,1,155,155,0.0
156,wind,2030,1,156,156,0.0
157,wind,2030,1,157,157,0.0
158,wind,2030,1,158,158,0.0
159,wind,2030,1,159,159,0.0
160,wind,2030,1,160,160,0.0
161,wind,2030,1,161,161,0.0
162,wind,2030,1,162,162,0.0
163,wind,2030,1,163,163,0.0
164,wind,2030,1,164,164,0.0
165,wind,2030,1,165,165,0.0
166,wind,2030,1,166,166,0.0
167,wind,2030,1,167,167,0.0
168,wind,2030,1,168,168,0.0
169,wind,2030,1,169,169,0.0
170,wind,2030,1,170,170,0.0
171,wind,2030,1,171,171,0.0
172,wind,2030,1,172,172,0.0
173,wind,2030,1,173,173,0.0
174,wind,2030,1,174,174,0.0
175,wind,2030,1,175,175,0.0
176,wind,2030,1,176,176,0.0
177,wind,2030,1,177,177,0.0
178,wind,2030,1,178,178,0.0
179,wind,2030,1,179,179,0.0
180,wind,2030,1,180,180,0.0
181,wind,2030,1,181,181,-0.6345875546929218
182,wind,2030,1,182,182,-0.6345875546929218
183,wind,2030,1,183,183,-0.6345875546929218
184,wind,2030,1,184,184,-0.6345875546929218
185,wind,2030,1,185,185,-0.6345875546929218
186,wind,2030,1,186,186,-0.6345875546929218
187,wind,2030,1,187,187,-0.6345875546929218
188,wind,2030,1,188,188,-0.6345875546929218
189,wind,2030,1,189,189,-0.6345875546929218
190,wind,2030,1,190,190,-0.6345875546929218
191,wind,2030,1,191,191,-0.6345875546929218
192,wind,2030,1,192,192,-0.6345875546929218
193,wind,2030,1,193,193,-0.6345875546929218
194,wind,2030,1,194,194,-0.6345875546929218
195,wind,2030,1,195,195,-0.6345875546929218
196,wind,2030,1,196,196,-0.6345875546929218
197,wind,2030,1,197,197,-0.6345875546929218
198,wind,2030,1,198,198,-0.6345875546929218
199,wind,2030,1,199,199,-0.6239769900617251
200,wind,2030,1,200,200,0.0
201,wind,2030,1,201,201,0.0
202,wind,2030,1,202,202,0.0
203,wind,2030,1,203,203,0.0
204,wind,2030,1,204,204,0.0
205,wind,2030,1,205,205,0.0
206,wind,2030,1,206,206,0.0
207,wind,2030,1,207,207,0.0
208,wind,2030,1,208,208,0.0
209,wind,2030,1,209,209,0.0
210,wind,2030,1,210,210,0.0
211,wind,2030,1,211,211,0.0
212,wind,2030,1,212,212,0.0
213,wind,2030,1,213,213,0.0
214,wind,2030,1,214,214,0.0
215,wind,2030,1,215,215,0.0
216,wind,2030,1,216,216,0.0
217,wind,2030,1,217,217,0.0
218,wind,2030,1,218,218,0.0
219,wind,2030,1,219,219,0.0
220,wind,2030,1,220,220,0.0
221,wind,2030,1,221,221,0.0
222,wind,2030,1,222,222,0.0
223,wind,2030,1,223,223,0.0
224,wind,2030,1,224,224,0.0
225,wind,2030,1,225,225,0.0
226,wind,2030,1,226,226,0.0
227,wind,2030,1,227,227,0.0
228,wind,2030,1,228,228,0.0
229,wind,2030,1,229,229,0.0
230,wind,2030,1,230,230,0.0
231,wind,2030,1,231,231,0.0
232,wind,2030,1,232,232,0.0
233,wind,2030,1,233,233,0.0
234,wind,2030,1,234,234,0.0
235,wind,2030,1,235,235,0.0
236,wind,2030,1,236,236,0.0
237,wind,2030,1,237,237,0.0
238,wind,2030,1,238,238,0.0
239,wind,2030,1,239,239,0.0
240,wind,2030,1,240,240,0.0
241,wind,2030,1,241,241,0.0
242,wind,2030,1,242,242,-0.6239769900617251
243,wind,2030,1,243,243,0.0
244,wind,2030,1,244,244,0.0
245,wind,2030,1,245,245,0.0
246,wind,2030,1,246,246,0.0
247,wind,2030,1,247,247,0.0
248,wind,2030,1,248,248,0.0
249,wind,2030,1,249,249,0.0
250,wind,2030,1,250,250,0.0
251,wind,2030,1,251,251,0.0
252,wind,2030,1,252,252,0.0
253,wind,2030,1,253,253,0.0
254,wind,2030,1,254,254,0.0
255,wind,2030,1,255,255,0.0
256,wind,2030,1,256,256,0.0
257,wind,2030,1,257,257,0.0
258,wind,2030,1,258,258,0.0
259,wind,2030,1,259,259,0.0
260,wind,2030,1,260,260,0.0
261,wind,2030,1,261,261,0.0
262,wind,2030,1,262,262,0.0
263,wind,2030,1,263,263,0.0
264,wind,2030,1,264,264,0.0
265,wind,2030,1,265,265,0.0
266,wind,2030,1,266,266,0.0
267,wind,2030,1,267,267,0.0
268,wind,2030,1,268,268,0.0
269,wind,2030,1,269,269,0.0
270,wind,2030,1,270,270,0.0
271,wind,2030,1,271,271,0.0
272,wind,2030,1,272,272,0.0
273,wind,2030,1,273,273,0.0
274,wind,2030,1,274,274,0.0
275,wind,2030,1,275,275,-0.6345875546929218
276,wind,2030,1,276,276,-0.6345875546929218
277,wind,2030,1,277,277,-0.6345875546929218
278,wind,2030,1,278,278,-0.6345875546929218
279,wind,2030,1,279,279,-0.6345875546929218
280,wind,2030,1,280,280,-0.6345875546929218
281,wind,2030,1,281,281,-0.6239769900617251
282,wind,2030,1,282,282,0.0
283,wind,2030,1,283,283,0.0
284,wind,2030,1,284,284,0.0
285,wind,2030,1,285,285,0.0
286,wind,2030,1,286,286,0.0
287,wind,2030,1,287,287,-0.6239769900617251
288,wind,2030,1,288,288,-0.6239769900617251
289,wind,2030,1,289,289,-0.6345875546929218
290,wind,2030,1,290,290,-0.6345875546929218
291,wind,2030,1,291,291,-0.6345875546929218
292,wind,2030,1,292,292,-0.6345875546929218
293,wind,2030,1,293,293,-0.6345875546929218
294,wind,2030,1,294,294,0.0
295,wind,2030,1,295,295,0.0
296,wind,2030,1,296,296,0.0
297,wind,2030,1,297,297,0.0
298,wind,2030,1,298,298,0.0
299,wind,2030,1,299,299,0.0
300,wind,2030,1,300,300,0.0
301,wind,2030,1,301,301,0.0
302,wind,2030,1,302,302,0.0
303,wind,2030,1,303,303,0.0
304,wind,2030,1,304,304,0.0
305,wind,2030,1,305,305,0.0
306,wind,2030,1,306,306,0.0
307,wind,2030,1,307,307,0.0
308,wind,2030,1,308,308,0.0
309,wind,2030,1,309,309,0.0
310,wind,2030,1,310,310,0.0
311,wind,2030,1,311,311,0.0
312,wind,2030,1,312,312,0.0
313,wind,2030,1,313,313,-0.6239769900617251
314,wind,2030,1,314,314,-0.6239769900617251
315,wind,2030,1,315,315,0.0
316,wind,2030,1,316,316,0.0
317,wind,2030,1,317,317,0.0
318,wind,2030,1,318,318,0.0
319,wind,2030,1,319,319,0.0
320,wind,2030,1,320,320,0.0
321,wind,2030,1,321,321,0.0
322,wind,2030,1,322,322,0.0
323,wind,2030,1,323,323,0.0
324,wind,2030,1,324,324,0.0
325,wind,2030,1,325,325,0.0
326,wind,2030,1,326,326,0.0
327,wind,2030,1,327,327,0.0
328,wind,2030,1,328,328,0.0
329,wind,2030,1,329,329,0.0
330,wind,2030,1,330,330,0.0
331,wind,2030,1,331,331,0.0
332,wind,2030,1,332,332,0.0
333,wind,2030,1,333,333,0.0
334,wind,2030,1,334,334,0.0
335,wind,2030,1,335,335,0.0
336,wind,2030,1,336,336,0.0
337,wind,2030,1,337,337,0.0
338,wind,2030,1,338,338,0.0
339,wind,2030,1,339,339,0.0
340,wind,2030,1,340,340,0.0
341,wind,2030,1,341,341,0.0
342,wind,2030,1,342,342,0.0
343,wind,2030,1,343,343,0.0
344,wind,2030,1,344,344,0.0
345,wind,2030,1,345,345,0.0
346,wind,2030,1,346,346,0.0
347,wind,2030,1,347,347,0.0
348,wind,2030,1,348,348,0.0
349,wind,2030,1,349,349,0.0
350,wind,2030,1,350,350,0.0
351,wind,2030,1,351,351,0.0
352,wind,2030,1,352,352,0.0
353,wind,2030,1,353,353,0.0
354,wind,2030,1,354,354,0.0
355,wind,2030,1,355,355,0.0
356,wind,2030,1,356,356,0.0
357,wind,2030,1,357,357,0.0
358,wind,2030,1,358,358,0.0
359,wind,2030,1,359,359,0.0
360,wind,2030,1,360,360,0.0
361,wind,2030,1,361,361,0.0
362,wind,2030,1,362,362,0.0
363,wind,2030,1,363,363,0.0
364,wind,2030,1,364,364,0.0
365,wind,2030,1,365,365,0.0
366,wind,2030,1,366,366,0.0
367,wind,2030,1,367,367,0.0
368,wind,2030,1,368,368,0.0
369,wind,2030,1,369,369,0.0
370,wind,2030,1,370,370,0.0
371,wind,2030,1,371,371,0.0
372,wind,2030,1,372,372,0.0
373,wind,2030,1,373,373,0.0
374,wind,2030,1,374,374,0.0
375,wind,2030,1,375,375,0.0
376,wind,2030,1,376,376,0.0
377,wind,2030,1,377,377,0.0
378,wind,2030,1,378,378,0.0
379,wind,2030,1,379,379,0.0
380,wind,2030,1,380,380,0.0
381,wind,2030,1,381,381,0.0
382,wind,2030,1,382,382,0.0
383,wind,2030,1,383,383,0.0
384,wind,2030,1,384,384,0.0
385,wind,2030,1,385,385,0.0
386,wind,2030,1,386,386,0.0
387,wind,2030,1,387,387,0.0
388,wind,2030,1,388,388,0.0
389,wind,2030,1,389,389,0.0
390,wind,2030,1,390,390,0.0
391,wind,2030,1,391,391,0.0
392,wind,2030,1,392,392,0.0
393,wind,2030,1,393,393,0.0
394,wind,2030,1,394,394,0.0
395,wind,2030,1,395,395,0.0
396,wind,2030,1,396,396,0.0
397,wind,2030,1,397,397,0.0
398,wind,2030,1,398,398,0.0
399,wind,2030,1,399,399,0.0
400,wind,2030,1,400,400,0.0
401,wind,2030,1,401,401,0.0
402,wind,2030,1,402,402,0.0
403,wind,2030,1,403,403,0.0
404,wind,2030,1,404,404,0.0
405,wind,2030,1,405,405,0.0
406,wind,2030,1,406,406,-0.6239769900617251
407,wind,2030,1,407,407,-0.6239769900617251
408,wind,2030,1,408,408,-0.6345875546929218
409,wind,2030,1,409,409,-0.6345875546929218
410,wind,2030,1,410,410,-0.6345875546929218
411,wind,2030,1,411,411,-0.6345875546929218
412,wind,2030,1,412,412,-0.6345875546929218
413,wind,2030,1,413,413,-0.6345875546929218
414,wind,2030,1,414,414,-0.6345875546929218
415,wind,2030,1,415,415,-0.6345875546929218
416,wind,2030,1,416,416,-0.6345875546929218
417,wind,2030,1,417,417,-0.6345875546929218
418,wind,2030,1,418,418,-0.6239769900617251
419,wind,2030,1,419,419,0.0
420,wind,2030,1,420,420,0.0
421,wind,2030,1,421,421,0.0
422,wind,2030,1,422,422,0.0
423,wind,2030,1,423,423,0.0
424,wind,2030,1,424,424,0.0
425,wind,2030,1,425,425,0.0
426,wind,2030,1,426,426,0.0
427,wind,2030,1,427,427,0.0
428,wind,2030,1,428,428,0.0
429,wind,2030,1,429,429,0.0
430,wind,2030,1,430,430,0.0
431,wind,2030,1,431,431,0.0
432,wind,2030,1,432,432,0.0
433,wind,2030,1,433,433,0.0
434,wind,2030,1,434,434,0.0
435,wind,2030,1,435,435,0.0
436,wind,2030,1,436,436,0.0
437,wind,2030,1,437,437,0.0
438,wind,2030,1,438,438,0.0
439,wind,2030,1,439,439,0.0
440,wind,2030,1,440,440,0.0
441,wind,2030,1,441,441,0.0
442,wind,2030,1,442,442,0.0
443,wind,2030,1,443,443,0.0
444,wind,2030,1,444,444,0.0
445,wind,2030,1,445,445,0.0
446,wind,2030,1,446,446,0.0
447,wind,2030,1,447,447,0.0
448,wind,2030,1,448,448,0.0
449,wind,2030,1,449,449,0.0
450,wind,2030,1,450,450,0.0
451,wind,2030,1,451,451,0.0
452,wind,2030,1,452,452,0.0
453,wind,2030,1,453,453,0.0
454,wind,2030,1,454,454,0.0
455,wind,2030,1,455,455,0.0
456,wind,2030,1,456,456,0.0
457,wind,2030,1,457,457,0.0
458,wind,2030,1,458,458,0.0
459,wind,2030,1,459,459,0.0
460,wind,2030,1,460,460,0.0
461,wind,2030,1,461,461,0.0
462,wind,2030,1,462,462,0.0
463,wind,2030,1,463,463,0.0
464,wind,2030,1,464,464,0.0
465,wind,2030,1,465,465,0.0
466,wind,2030,1,466,466,0.0
467,wind,2030,1,467,467,0.0
468,wind,2030,1,468,468,0.0
469,wind,2030,1,469,469,0.0
470,wind,2030,1,470,470,0.0
471,wind,2030,1,471,471,0.0
472,wind,2030,1,472,472,0.0
473,wind,2030,1,473,473,0.0
474,wind,2030,1,474,474,0.0
475,wind,2030,1,475,475,0.0
476,wind,2030,1,476,476,0.0
477,wind,2030,1,477,477,0.0
478,wind,2030,1,478,478,0.0
479,wind,2030,1,479,479,0.0
480,wind,2030,1,480,480,-0.6239769900617251
481,wind,2030,1,481,481,-0.6345875546929218
482,wind,2030,1,482,482,-0.6345875546929218
483,wind,2030,1,483,483,-0.6345875546929218
484,wind,2030,1,484,484,-0.6345875546929218
485,wind,2030,1,485,485,-0.6345875546929218
486,wind,2030,1,486,486,-0.6345875546929218
487,wind,2030,1,487,487,0.0
488,wind,2030,1,488,488,0.0
489,wind,2030,1,489,489,0.0
490,wind,2030,1,490,490,0.0
491,wind,2030,1,491,491,-0.6345875546929218
492,wind,2030,1,492,492,-0.6345875546929218
493,wind,2030,1,493,493,-0.6345875546929218
494,wind,2030,1,494,494,-0.6345875546929218
495,wind,2030,1,495,495,-0.6345875546929218
496,wind,2030,1,496,496,-0.6239769900617251
497,wind,2030,1,497,497,0.0
498,wind,2030,1,498,498,0.0
499,wind,2030,1,499,499,0.0
500,wind,2030,1,500,500,0.0
501,wind,2030,1,501,501,-0.7603227455726014
502,wind,2030,1,502,502,-0.7603227455726014
503,wind,2030,1,503,503,-0.6345875546929218
504,wind,2030,1,504,504,-0.6345875546929218
505,wind,2030,1,505,505,-0.7603227455726014
506,wind,2030,1,506,506,-0.7603227455726014
507,wind,2030,1,507,507,-0.7603227455726014
508,wind,2030,1,508,508,-0.7603227455726014
509,wind,2030,1,509,509,-0.7603227455726014
510,wind,2030,1,510,510,-0.7603227455726014
511,wind,2030,1,511,511,-0.7603227455726014
512,wind,2030,1,512,512,-0.7603227455726014
513,wind,2030,1,513,513,-0.7603227455726014
514,wind,2030,1,514,514,-0.7603227455726014
515,wind,2030,1,515,515,-0.6345875546929218
516,wind,2030,1,516,516,-0.6345875546929218
517,wind,2030,1,517,517,-0.7603227455726014
518,wind,2030,1,518,518,-0.7603227455726014
519,wind,2030,1,519,519,-0.7603227455726014
520,wind,2030,1,520,520,-0.7603227455726014
521,wind,2030,1,521,521,-0.7603227455726014
522,wind,2030,1,522,522,-0.7603227455726014
523,wind,2030,1,523,523,-0.7603227455726014
524,wind,2030,1,524,524,-0.6345875546929218
525,wind,2030,1,525,525,-0.6345875546929218
526,wind,2030,1,526,526,-0.6345875546929218
527,wind,2030,1,527,527,-0.6345875546929218
528,wind,2030,1,528,528,-0.6345875546929218
529,wind,2030,1,529,529,-0.6345875546929218
530,wind,2030,1,530,530,-0.7603227455726014
531,wind,2030,1,531,531,-0.6345875546929218
532,wind,2030,1,532,532,-0.6345875546929218
533,wind,2030,1,533,533,-0.6345875546929218
534,wind,2030,1,534,534,-0.6345875546929218
535,wind,2030,1,535,535,-0.6345875546929218
536,wind,2030,1,536,536,-0.6345875546929218
537,wind,2030,1,537,537,-0.6345875546929218
538,wind,2030,1,538,538,-0.6345875546929218
539,wind,2030,1,539,539,-0.6345875546929218
540,wind,2030,1,540,540,-0.6345875546929218
