asset,milestone_year,investable,peak_demand,storage_inflows,initial_storage_level,min_energy_timeframe_partition,max_energy_timeframe_partition,units_on_cost
demandBE,2030,false,5.76,0.0,0.0,,,
demandBE,2040,false,8.96,0.0,0.0,,,
demandBE,2050,false,8.96,0.0,0.0,,,
ensBE,2030,false,0.0,0.0,0.0,,,
ensBE,2040,false,0.0,0.0,0.0,,,
ensBE,2050,false,0.0,0.0,0.0,,,
demandDE,2030,false,26.417,0.0,0.0,,,
demandDE,2040,false,47.955,0.0,0.0,,,
demandDE,2050,false,51.480,0.0,0.0,,,
ensDE,2030,false,0.0,0.0,0.0,,,
ensDE,2040,false,0.0,0.0,0.0,,,
ensDE,2050,false,0.0,0.0,0.0,,,
demandDK,2030,false,5.271,0.0,0.0,,,
demandDK,2040,false,5.274,0.0,0.0,,,
demandDK,2050,false,15.671,0.0,0.0,,,
ensDK,2030,false,0.0,0.0,0.0,,,
ensDK,2040,false,0.0,0.0,0.0,,,
ensDK,2050,false,0.0,0.0,0.0,,,
demandNL,2030,false,16.3,0.0,0.0,,,
demandNL,2040,false,48.3,0.0,0.0,,,
demandNL,2050,false,68.3,0.0,0.0,,,
ensNL,2030,false,0.0,0.0,0.0,,,
ensNL,2040,false,0.0,0.0,0.0,,,
ensNL,2050,false,0.0,0.0,0.0,,,
demandNO,2030,false,3.0,0.0,0.0,,,
demandNO,2040,false,14.0,0.0,0.0,,,
demandNO,2050,false,14.0,0.0,0.0,,,
ensNO,2030,false,0.0,0.0,0.0,,,
ensNO,2040,false,0.0,0.0,0.0,,,
ensNO,2050,false,0.0,0.0,0.0,,,
demandUK,2030,false,55.000,0.0,0.0,,,
demandUK,2040,false,95.858,0.0,0.0,,,
demandUK,2050,false,97.667,0.0,0.0,,,
ensUK,2030,false,0.0,0.0,0.0,,,
ensUK,2040,false,0.0,0.0,0.0,,,
ensUK,2050,false,0.0,0.0,0.0,,,
wind,2030,true,0.0,0.0,0.0,,,
wind,2040,true,0.0,0.0,0.0,,,
wind,2050,true,0.0,0.0,0.0,,,
