from_asset,to_asset,milestone_year,variable_cost
ensBE,demandBE,2030,0.0614
ensDE,demandDE,2030,0.0655
ensDK,demandDK,2030,0.0603
ensNL,demandNL,2030,0.0581
ensNO,demandNO,2030,0.0434
ensUK,demandUK,2030,0.0429
ensBE,demandBE,2040,0.1043
ensDE,demandDE,2040,0.1537
ensDK,demandDK,2040,0.1356
ensNL,demandNL,2040,0.1133
ensNO,demandNO,2040,0.0308
ensUK,demandUK,2040,0.0590
ensBE,demandBE,2050,0.0511
ensDE,demandDE,2050,0.0529
ensDK,demandDK,2050,0.0435
ensNL,demandNL,2050,0.0525
ensNO,demandNO,2050,0.0404
ensUK,demandUK,2050,0.0448
wind,demandBE,2030,0.00256
wind,demandDE,2030,0.00627
wind,demandDK,2030,0.00607
wind,demandNL,2030,0.00668
wind,demandNO,2030,0.00467
wind,demandUK,2030,0.00827
wind,demandBE,2040,0.00256
wind,demandDE,2040,0.00627
wind,demandDK,2040,0.00607
wind,demandNL,2040,0.00668
wind,demandNO,2040,0.00467
wind,demandUK,2040,0.00827
wind,demandBE,2050,0.00256
wind,demandDE,2050,0.00627
wind,demandDK,2050,0.00607
wind,demandNL,2050,0.00668
wind,demandNO,2050,0.00467
wind,demandUK,2050,0.00827
