asset,type,group,capacity,min_operating_point,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,consumer_balance_sense,capacity_storage_energy,is_seasonal,use_binary_storage_method,unit_commitment,unit_commitment_method,unit_commitment_integer,ramping,storage_method_energy,energy_to_power_ratio,investment_integer_storage_energy,max_ramp_up,max_ramp_down
demandBE,consumer,,0,,none,FALSE,15,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
demandDE,consumer,,0,,none,FALSE,15,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
demandDK,consumer,,0,,none,FALSE,15,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
demandNL,consumer,,0,,none,FALSE,15,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
demandNO,consumer,,0,,none,FALSE,15,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
demandUK,consumer,,0,,none,FALSE,15,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
ensBE,producer,,1,,none,FALSE,40,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
ensDE,producer,,1,,none,FALSE,40,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
ensDK,producer,,1,,none,FALSE,40,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
ensNL,producer,,1,,none,FALSE,40,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
ensNO,producer,,1,,none,FALSE,40,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
ensUK,producer,,1,,none,FALSE,40,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
wind,producer,,1,,compact,TRUE,25,10,0.05,==,0,FALSE,,FALSE,,FALSE,FALSE,FALSE,0,FALSE,,
