asset,commission_year,fixed_cost,investment_cost,investment_limit,fixed_cost_storage_energy,investment_cost_storage_energy,investment_limit_storage_energy,storage_loss_from_stored_energy
demand,2030,0.0,0.0,,0.0,0.0,,0
demand,2050,0.0,0.0,,0.0,0.0,,0
ens,2030,0.0,0.0,,0.0,0.0,,0
ens,2050,0.0,0.0,,0.0,0.0,,0
wind20,2030,61.0,81.0,,0.0,0.0,,0
wind20,2050,61.0,81.0,,0.0,0.0,,0
wind30,2030,62.0,82.0,,0.0,0.0,,0
wind30,2050,62.0,82.0,,0.0,0.0,,0
wind50,2030,63.0,83.0,,0.0,0.0,,0
wind50,2050,63.0,83.0,,0.0,0.0,,0
