──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
                                                                                                                                             Time                    Allocations      
                                                                                                                                    ───────────────────────   ────────────────────────
                                                         Tot / % measured:                                                                731h /   0.1%            362GiB /  99.6%    

Section                                                                                                                     ncalls     time    %tot     avg     alloc    %tot      avg
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
solve_model!                                                                                                                   100    1672s   43.6%   16.7s   41.6GiB   11.5%   426MiB
  total solver time                                                                                                            100    1671s   43.6%   16.7s   41.6GiB   11.5%   426MiB
create_model!                                                                                                                  100    1112s   29.0%   11.1s    219GiB   60.7%  2.19GiB
  create_model                                                                                                                 100    1107s   28.8%   11.1s    219GiB   60.7%  2.19GiB
    add_capacity_constraints!                                                                                                  100     347s    9.0%   3.47s   72.2GiB   20.0%   739MiB
    add_flow_variables!                                                                                                        100     218s    5.7%   2.18s   50.1GiB   13.9%   513MiB
    add_expressions_to_constraints!                                                                                            100     202s    5.3%   2.02s   42.7GiB   11.8%   437MiB
      add_expression_terms_rep_period_constraints!                                                                             900    78.0s    2.0%  86.7ms   19.6GiB    5.4%  22.3MiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_simple_method                                         100    72.4s    1.9%   724ms   22.4GiB    6.2%   230MiB
      add_expression_terms_over_clustered_year_constraints!                                                                    300    10.1s    0.3%  33.7ms   32.7MiB    0.0%   111KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_simple_method_investable_storage_with_binary          100    3.10s    0.1%  31.0ms   3.03MiB    0.0%  31.1KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_simple_method_non_investable_storage_with_binary      100    3.07s    0.1%  30.7ms   3.03MiB    0.0%  31.1KiB
      add_expression_terms_rep_period_constraints! for min_outgoing_flow_for_transport_flows_without_unit_commitment           100    3.05s    0.1%  30.5ms   3.03MiB    0.0%  31.0KiB
      add_expression_terms_rep_period_constraints! for min_incoming_flow_for_transport_flows                                   100    3.00s    0.1%  30.0ms   3.02MiB    0.0%  30.9KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_simple_method_investable_storage_with_binary          100    3.00s    0.1%  30.0ms   3.03MiB    0.0%  31.1KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_simple_method                                         100    3.00s    0.1%  30.0ms   3.02MiB    0.0%  30.9KiB
      add_expression_terms_rep_period_constraints! for capacity_incoming_simple_method_non_investable_storage_with_binary      100    2.96s    0.1%  29.6ms   3.03MiB    0.0%  31.1KiB
      add_expression_terms_rep_period_constraints! for capacity_outgoing_compact_method                                        100    2.94s    0.1%  29.4ms   3.02MiB    0.0%  30.9KiB
      attach is_charging expression to capacity_outgoing_simple_method                                                         100    1.55s    0.0%  15.5ms    142MiB    0.0%  1.42MiB
      attach is_charging expression to capacity_incoming_simple_method                                                         100    1.36s    0.0%  13.6ms   2.20MiB    0.0%  22.5KiB
      attach is_charging expression to capacity_outgoing_simple_method_investable_storage_with_binary                          100    1.36s    0.0%  13.6ms   1.40MiB    0.0%  14.3KiB
      attach is_charging expression to min_outgoing_flow_for_transport_flows_without_unit_commitment                           100    1.35s    0.0%  13.5ms   1.40MiB    0.0%  14.3KiB
      attach is_charging expression to capacity_outgoing_simple_method_non_investable_storage_with_binary                      100    1.35s    0.0%  13.5ms   1.40MiB    0.0%  14.3KiB
      attach is_charging expression to capacity_incoming_simple_method_non_investable_storage_with_binary                      100    1.34s    0.0%  13.4ms   1.40MiB    0.0%  14.3KiB
