id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_compact_profiles_vintage_method
1,wind,2030,1,17,17,-0.6345875546929218
2,wind,2030,1,18,18,-0.6345875546929218
3,wind,2030,1,19,19,-0.6345875546929218
4,wind,2030,1,20,20,-0.6345875546929218
5,wind,2030,1,21,21,-0.6345875546929218
6,wind,2030,1,22,22,-0.6345875546929218
7,wind,2030,1,23,23,-0.6345875546929218
8,wind,2030,1,24,24,-0.6345875546929218
9,wind,2030,1,25,25,-0.6345875546929218
10,wind,2030,1,26,26,-0.6345875546929218
11,wind,2030,1,27,27,-0.6345875546929218
12,wind,2030,1,28,28,-0.6345875546929218
13,wind,2030,1,29,29,-0.6345875546929218
14,wind,2030,1,30,30,-0.6345875546929218
15,wind,2030,1,31,31,-0.6345875546929218
16,wind,2030,1,32,32,-0.6345875546929218
17,wind,2030,1,33,33,-0.6345875546929218
18,wind,2030,1,34,34,-0.6345875546929218
19,wind,2030,1,35,35,-0.6345875546929218
20,wind,2030,1,36,36,-0.6345875546929218
21,wind,2030,1,37,37,-0.6345875546929218
22,wind,2030,1,38,38,-0.6345875546929218
23,wind,2030,1,39,39,-0.6345875546929218
24,wind,2030,1,40,40,-0.6345875546929218
25,wind,2030,1,41,41,-0.6345875546929218
26,wind,2030,1,42,42,-0.6345875546929218
27,wind,2030,1,43,43,-0.6345875546929218
28,wind,2030,1,44,44,-0.6345875546929218
29,wind,2030,1,45,45,-0.6345875546929218
30,wind,2030,1,46,46,-0.6345875546929218
31,wind,2030,1,47,47,-0.6345875546929218
32,wind,2030,1,48,48,-0.6345875546929218
33,wind,2030,1,49,49,-0.6345875546929218
34,wind,2030,1,50,50,-0.6345875546929218
35,wind,2030,1,51,51,-0.6345875546929218
36,wind,2030,1,52,52,-0.6345875546929218
37,wind,2030,1,53,53,-0.6345875546929218
38,wind,2030,1,54,54,-0.6345875546929218
39,wind,2030,1,55,55,-0.6345875546929218
40,wind,2030,1,56,56,-0.6239769900617251
41,wind,2030,1,57,57,-0.6239769900617251
42,wind,2030,1,58,58,0.0
43,wind,2030,1,59,59,0.0
44,wind,2030,1,60,60,0.0
45,wind,2030,1,61,61,0.0
46,wind,2030,1,62,62,0.0
47,wind,2030,1,63,63,0.0
48,wind,2030,1,64,64,-0.6239769900617251
49,wind,2030,1,65,65,-0.6345875546929218
50,wind,2030,1,66,66,-0.6345875546929218
